Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,on,74,74,38,68,74,74,36,68,62,62,24,62,62,62,24,62
off,off,off,off,on,on,74,74,38,68,74,74,36,68,62,62,24,62,62,62,24,62
off,off,off,on,off,on,74,74,38,68,74,74,36,68,62,62,24,62,62,62,24,62
off,off,off,on,on,on,74,74,38,68,74,74,36,68,62,62,24,62,62,62,24,62
off,off,on,off,off,on,74,74,38,68,74,74,36,68,62,62,24,62,62,62,24,62
off,off,on,off,on,on,74,74,38,68,74,74,36,68,62,62,24,62,62,62,24,62
off,off,on,on,off,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,off,on,on,on,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,off,off,off,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,off,off,on,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,off,on,off,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,off,on,on,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,on,off,off,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,on,off,on,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,on,on,off,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,on,on,on,on,on,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,off,off,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,off,off,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,off,on,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,off,on,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,on,off,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,on,off,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,on,on,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,off,on,on,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,off,off,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,off,off,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,off,on,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,off,on,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,on,off,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,on,off,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,on,on,off,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
on,on,on,on,on,any,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,off,any,off,any,off,74,74,38,68,74,74,36,68,62,62,24,62,62,62,24,62
off,on,any,any,any,off,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
off,any,any,on,any,off,74,74,38,68,60,60,36,60,60,60,24,60,60,60,24,60
